positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
3,1610,2,5,0,1617,0.9956709956709957,0.0,0.0,0.0
4,1559,7,37,14,1617,0.9727891156462585,0.27450980392156865,0.6666666666666666,0.3888888888888889
5,995,130,168,324,1617,0.8157081014223871,0.6585365853658537,0.7136563876651982,0.6849894291754757
6,601,318,150,548,1617,0.7105751391465677,0.7851002865329513,0.6327944572748267,0.7007672634271099
7,1220,81,153,163,1617,0.8552875695732839,0.5158227848101266,0.6680327868852459,0.5821428571428572
8,1558,6,29,24,1617,0.9783549783549783,0.4528301886792453,0.8,0.5783132530120482
9,1615,0,2,0,1617,0.9987631416202845,0.0,0.0,0.0
